video,score,shoulder_width_original,shoulder_width_normalized,hip_width_normalized,foot_distance_normalized
003.avi,16.37,52.468833771873506,52.468833771873506,36.706043980333924,43.013642081914846
007.avi,16.4,77.64806346460452,76.89419877077341,56.84240983132135,74.8504048456225
009.avi,16.43,71.95425014752932,71.9542501475293,68.35100890464047,55.717763834311555
011.avi,16.0,59.18896663432835,59.18896663432839,37.920263368346994,51.19003538859656
012.avi,16.4,72.73231066815289,70.6138938525756,61.888756548628045,61.679400473442
013.avi,15.97,59.58025935686575,59.001810236896226,40.34533011147069,41.55029329119173
015.avi,16.6,70.5126714008811,70.51267140088112,88.27190324159304,71.64979159697754
016.avi,16.67,20.500052910751382,20.500052910751386,17.87376386890575,21.3511828250874
019.avi,16.4,28.08831601745496,28.08831601745496,21.301019079177244,29.84710681799997
024.avi,14.8,71.29204545006175,71.29204545006176,45.91407629067518,37.553981932814864
026.avi,14.96,77.38411865508566,77.38411865508564,45.53171830647876,55.77275460021167
027.avi,15.13,19.702430929125427,19.511145191949456,13.634252264099832,12.349837106578564
028.avi,15.5,41.060897133231165,41.060897133231165,29.958644580759003,33.59531155336737
029.avi,14.96,78.30557443600294,78.30557443600291,48.176480085539126,42.246661086021476
032.avi,15.33,83.55357771585462,83.55357771585463,51.52216704773992,58.74438969263104
033.avi,14.86,71.48570938698084,71.4857093869808,44.873734625577136,44.46652949832029
035.avi,14.9,71.02814338091746,71.02814338091748,54.45320577883919,34.757896541315745
039.avi,15.1,48.07349649128457,47.60676351564103,27.36047035331607,26.6541600345247
040.avi,15.6,44.273873871907476,44.27387387190746,43.14514748374975,59.5764297679278
043.avi,15.47,57.35085281215626,57.35085281215629,56.24827664661333,30.812549795524934
047.avi,15.5,63.47781302867809,63.47781302867807,39.6490976547039,50.85672561896436
048.avi,14.97,55.59132426122182,55.591324261221786,34.04357290387827,38.28983625921172
053.avi,14.97,81.16576570973767,80.37774856692471,59.23644599872686,57.812026958847774
055.avi,15.93,47.631093862543885,47.63109386254387,29.715531436212117,28.24333129275338
056.avi,15.26,49.7753519986308,49.77535199863082,29.65740773561087,29.315638793090777
059.avi,15.97,42.90042291446358,42.900422914463604,35.22183737425437,30.77149204262722
067.avi,14.6,68.71609425829824,68.71609425829827,56.93658157561527,42.63085506187733
069.avi,15.05,61.988659171924155,61.38682752947829,56.5140946684815,50.91424830765881
071.avi,14.3,52.28745970429438,52.287459704294406,53.44370359294091,68.89675789146439
072.avi,14.4,15.288313191134256,15.28831319113425,17.70013503253594,18.059328111297212
079.avi,13.83,68.64570924807127,68.6457092480713,71.2217774098988,45.62423333086463
084.avi,14.1,82.9731518876168,81.36202272475043,63.07813164938234,45.338768138765985
087.avi,14.7,46.62344004748916,46.6234400474892,38.823344991472254,34.63962238235642
088.avi,14.65,70.49040352797495,70.49040352797496,67.88476677134591,40.35011149999952
092.avi,14.08,60.81214267042946,59.631324366149265,97.03673956752165,80.3486271444514
093.avi,14.8,80.53175542045531,79.7498937173441,49.66782901064855,41.84127573591045
094.avi,13.3,79.5001996395448,78.72835304110262,47.93644183278701,48.84815852344513
100.avi,15.33,79.79215703841386,79.79215703841386,50.23291382700952,60.26229356876585
105.avi,15.7,60.80840368457492,60.80840368457491,47.57856498807716,27.15577582214167
106.avi,15.03,24.590396996184488,24.351655277774938,16.96345173564137,14.584358811771372
110.avi,14.6,52.4345008329199,52.434500832919916,34.191379959261475,33.35004877275065
117.avi,15.9,44.221691739198654,44.221691739198675,27.963774125130662,23.966341912117404
118.avi,15.21,55.556601839818896,55.55660183981886,35.939836119472716,41.247086361394736
119.avi,15.23,53.37819983438684,53.378199834386805,32.1290699425754,35.87751847236594
120.avi,14.2,46.53861469301318,46.53861469301319,30.529661302275724,30.37718495701274
121.avi,15.75,81.79888928996043,81.79888928996044,81.51602405462764,44.597743846890545
122.avi,15.33,62.68136716124224,62.68136716124228,55.64708246044716,39.23316482839515
123.avi,16.08,73.86301799793075,72.42878463874764,63.22270365259635,68.04908157920077
126.avi,14.7,75.37674767309107,73.18130842047677,51.68908796309127,93.15874054605338
128.avi,15.73,89.3316247625842,88.46432743479211,66.21572138363194,47.27546272633084
129.avi,15.43,68.42963473336805,67.76526934760723,48.00964930351495,37.581943650911526
134.avi,14.93,52.97961190812118,50.9221512514951,43.70435254915646,58.37909391298787
141.avi,14.7,29.90454425089282,29.904544250892812,30.835613808348608,30.69659098013792
142.avi,15.87,41.21738815519167,41.217388155191664,39.09503596956717,28.95963135516115
144.avi,15.38,48.510012871082395,48.03904187233403,40.88886670096917,40.02995259475991
145.avi,15.0,37.33340344979689,35.88356253912517,28.453718131762052,28.586318634509503
149.avi,14.95,72.69305648833742,71.9872986583536,88.00098701993737,68.89983930314075
151.avi,15.78,34.098813504600955,33.76775706280871,34.73601588754224,46.086513853629874
152.avi,15.75,72.481370051563,71.77766742970319,70.49274017877724,79.79167154196728
153.avi,15.08,26.243742580588037,26.243742580588027,23.45055672345239,30.356561032210777
154.avi,14.45,39.1336183362072,37.6138661678108,34.418326365163125,40.52775426288408
155.avi,14.38,36.48687597602445,35.424151433033444,34.737917024978664,25.122748411556753
158.avi,15.0,54.2467801854038,53.72011241661345,51.71503277725308,46.996370100486885
161.avi,14.28,61.67100721168252,61.67100721168252,41.16007281119837,34.653425979237774
167.avi,15.2,74.4707988962346,74.47079889623458,50.26479531980433,46.54784381531598
168.avi,14.98,52.66565907223932,52.66565907223935,82.77058199025704,111.77457699826992
173.avi,14.73,46.64222466843775,46.18938753573447,63.17057048824176,55.89040236791051
176.avi,14.63,50.39064671715494,50.390646717154915,62.05071905576127,53.398582109236
