video_idx,filename,score,split
3,003.avi,16.37,train
7,007.avi,16.4,train
9,009.avi,16.43,train
11,011.avi,16.0,train
12,012.avi,16.4,train
13,013.avi,15.97,train
15,015.avi,16.6,train
16,016.avi,16.67,train
19,019.avi,16.4,train
24,024.avi,14.8,train
26,026.avi,14.96,train
27,027.avi,15.13,train
28,028.avi,15.5,train
29,029.avi,14.96,train
32,032.avi,15.33,train
33,033.avi,14.86,train
35,035.avi,14.9,train
39,039.avi,15.1,train
40,040.avi,15.6,train
43,043.avi,15.47,train
47,047.avi,15.5,train
48,048.avi,14.97,train
53,053.avi,14.97,train
55,055.avi,15.93,train
56,056.avi,15.26,train
59,059.avi,15.97,train
67,067.avi,14.6,train
69,069.avi,15.05,train
71,071.avi,14.3,train
72,072.avi,14.4,train
79,079.avi,13.83,train
84,084.avi,14.1,train
87,087.avi,14.7,train
88,088.avi,14.65,train
92,092.avi,14.08,train
93,093.avi,14.8,train
94,094.avi,13.3,train
100,100.avi,15.33,train
105,105.avi,15.7,train
106,106.avi,15.03,train
110,110.avi,14.6,train
117,117.avi,15.9,train
118,118.avi,15.21,train
119,119.avi,15.23,train
120,120.avi,14.2,train
121,121.avi,15.75,train
122,122.avi,15.33,train
123,123.avi,16.08,train
126,126.avi,14.7,train
128,128.avi,15.73,train
129,129.avi,15.43,train
134,134.avi,14.93,train
141,141.avi,14.7,train
142,142.avi,15.87,train
144,144.avi,15.38,train
145,145.avi,15.0,train
149,149.avi,14.95,train
151,151.avi,15.78,train
152,152.avi,15.75,train
153,153.avi,15.08,train
154,154.avi,14.45,train
155,155.avi,14.38,train
158,158.avi,15.0,train
161,161.avi,14.28,train
167,167.avi,15.2,train
168,168.avi,14.98,train
173,173.avi,14.73,train
176,176.avi,14.63,train
